quadkey,latitude,longitude,rwi,error
03333100103230,10.8656756,-4.6911621,-0.785,0.284
03331332231032,11.4477230,-2.2302246,-0.058,0.404
03333110001232,11.0166883,-2.5817871,-0.627,0.285
12220222033123,11.9640971,0.6481934,-0.128,0.287
03331322311100,11.8565990,-4.2956543,-0.600,0.313
03331323100022,12.4794869,-3.5046387,-0.336,0.390
03331330203011,13.0580745,-2.5598145,-0.597,0.293
03331333201210,11.7705700,-1.1755371,-0.509,0.287
03331323023232,11.8781020,-3.9880371,0.191,0.291
03331320332011,12.7153674,-4.4934082,-0.975,0.287
03331333120110,12.2004420,-0.5603027,-0.443,0.302
03331331122020,13.3575541,-0.6921387,-0.505,0.312
03331330312013,13.0366691,-1.6809082,-0.286,0.288
03333101121020,10.7793483,-3.3288574,-0.080,0.286
03331313333112,14.0619878,-0.0329590,-0.127,0.376
03331312331112,14.2324377,-1.4392090,-0.066,0.300
03333100300123,10.4121830,-4.8010254,-0.311,0.327
03333100133030,10.6066195,-4.3395996,-0.573,0.288
03331332321201,11.4261866,-1.9006348,-0.988,0.296
03331331010220,13.7847363,-1.0437012,-0.529,0.298
12220220011220,13.7847363,0.5383301,-0.723,0.294
03333101213311,10.2176252,-3.5266113,-0.606,0.304
12220222022023,11.9640971,0.0329590,-0.481,0.285
03333100332013,9.9363874,-4.4934082,-0.282,0.292
03333100103201,10.9088300,-4.7131348,-0.769,0.285
12220223212122,11.6199546,1.8566895,-0.544,0.280
03331323201111,11.8565990,-3.8781738,-0.238,0.291
03331323020320,12.0715524,-4.1198730,-0.318,0.286
12220222003213,12.2648633,0.2526855,0.083,0.287
03331330211002,13.2078602,-2.2741699,-0.346,0.317
12220223001023,12.4794869,1.6149902,-0.362,0.287
03331333121303,12.0930384,-0.4064941,-0.417,0.286
03331332300202,11.7490585,-2.0983887,-0.140,0.308
12220222203332,11.5338520,0.3186035,-0.810,0.284
03333100210320,10.3473437,-5.1745605,-0.756,0.297
03331332322112,11.3184804,-1.9665527,-0.851,0.284
03333101110020,11.1245072,-3.1530762,-0.718,0.305
03331331202132,12.9938527,-1.2634277,-0.356,0.296
03331323011132,12.4794869,-3.5485840,-0.719,0.293
03333101213320,10.1743738,-3.5925293,-0.574,0.308
03331331100023,13.8487469,-0.6701660,-1.001,0.299
12220202223132,14.0193555,0.3186035,-0.708,0.300
03331333301011,11.8565990,-0.4504395,-0.582,0.291
03331330120000,13.5712413,-2.0983887,-0.422,0.292
12220222000221,12.4151184,0.0329590,-0.433,0.282
03331331030321,13.4430519,-0.9338379,-0.326,0.299
03331333001020,12.5009395,-1.2194824,-0.603,0.308
03331323213313,11.5769066,-3.5266113,-0.218,0.308
03331313233132,14.0193555,-0.7360840,-0.574,0.297
03333101213322,10.1527460,-3.5925293,-0.341,0.296
03331321131122,13.5071552,-2.8894043,-0.105,0.280
03331323201301,11.7705700,-3.9221191,-0.645,0.302
03331331032312,13.2934109,-0.9118652,-0.333,0.302
03331322133301,11.9426009,-4.2736816,-0.410,0.287
03331330203221,12.9296144,-2.6037598,-0.186,0.322
12220222210210,11.7705700,0.4064941,-0.432,0.289
03331330323010,12.7153674,-1.8786621,-0.240,0.307
12220202203022,14.3601909,0.1867676,0.028,0.397
03331323330303,11.4046486,-3.0432129,-0.348,0.287
03331313323312,13.9767151,-0.3845215,-0.714,0.299
03333100133201,10.5634219,-4.3615723,-0.516,0.310
03333101110112,11.1460662,-3.0212402,0.056,0.293
03331322323323,11.1891794,-4.6252441,-0.015,0.290
03331333023001,12.0285754,-1.1975098,-0.672,0.284
03333100321113,10.1094859,-4.5812988,-0.386,0.288
03331321303233,12.9081979,-3.2629395,-0.781,0.285
03331313200112,14.5729506,-1.2634277,-0.495,0.282
03331313132012,14.7430107,-0.2966309,-0.409,0.284
03331332331123,11.4477230,-1.4611816,-0.511,0.288
03333101103120,10.9519780,-3.2409668,-0.379,0.425
03331333030133,12.1360050,-0.8898926,-0.215,0.285
12220220210102,13.2078602,0.4504395,-0.667,0.293
03333101101000,11.1676236,-3.3288574,-0.742,0.317
03331333111331,12.4151184,-0.0109863,-0.473,0.286
03331323033122,11.9640971,-3.5925293,-0.532,0.287
03331331331002,12.8653594,-0.1647949,-0.271,0.287
12220220320010,12.8867796,0.7580566,-0.638,0.287
03331331322000,12.7153674,-0.6921387,-0.488,0.287
03331330030211,13.4857894,-2.3840332,0.030,0.354
12220220200312,13.1222796,0.1428223,-0.537,0.292
03331321130231,13.4430519,-3.0871582,-0.380,0.281
03333101121220,10.6929962,-3.3288574,-0.533,0.283
03331333331131,11.4692577,-0.0109863,-0.525,0.296
03331331122233,13.2506393,-0.6262207,-0.628,0.293
03331332102030,12.3292689,-2.0544434,-0.650,0.289
03331322322010,11.3400249,-4.8669434,-0.763,0.282
12220223010003,12.5223904,1.7907715,-0.316,0.285
03331330010232,13.7633955,-2.4060059,-0.536,0.290
03331330013230,13.6139558,-2.2302246,-0.196,0.418
03331322121311,12.1145226,-4.5812988,-0.977,0.290
03331333122003,12.0070844,-0.6701660,-0.336,0.289
03331313232132,14.0193555,-0.9118652,-0.407,0.295
03331313212113,14.4027591,-0.8898926,-0.574,0.313
03331330212113,13.0366691,-2.2961426,-0.102,0.335
12220222001332,12.3936586,0.3186035,-0.463,0.284
12220223032131,11.9855916,1.9226074,-0.463,0.286
12220220003001,13.7420528,0.2087402,-0.206,0.374
12220220223133,12.6510579,0.3405762,-0.972,0.283
03333100123310,10.5634219,-4.6032715,-0.751,0.286
12222000011323,11.0166883,0.6481934,-0.538,0.275
12220222332102,11.3184804,1.1535645,-0.682,0.297
12220223100122,12.4794869,2.2082520,-0.466,0.281
12220220332311,12.6296178,1.2194824,-0.910,0.284
03331331030003,13.5498812,-1.0217285,-0.837,0.300
03331333002333,12.2219175,-1.2414551,-0.589,0.316
03333101211121,10.4337931,-3.5705566,0.025,0.296
03331323333012,11.3184804,-2.9333496,-0.997,0.293
12220222101330,12.4151184,1.0217285,-0.800,0.286
12220223003300,12.2863336,1.6809082,-0.608,0.280
03331332012120,12.3292689,-2.3620605,-0.113,0.349
03331331313030,13.0152618,-0.1208496,-0.495,0.298
03333101322130,9.9147437,-3.3728027,-0.591,0.286
03331322211020,11.8135879,-5.0866699,-0.400,0.283
03331332100231,12.4151184,-2.0324707,-0.720,0.290
03331332330020,11.4692577,-1.7468262,-0.432,0.283
03331332133310,11.9426009,-1.4392090,-0.375,0.291
03331331003013,13.7207082,-1.1535645,-0.225,0.310
03333101022022,10.5850215,-4.2077637,-0.301,0.290
03331333313102,11.6629959,-0.0769043,-0.323,0.286
03331312232002,14.0619878,-2.4499512,-0.263,0.323
03331332122001,12.0285754,-2.0764160,-0.548,0.296
03331333103301,12.2863336,-0.4064941,-0.170,0.316
03333111101230,11.0382553,-0.4724121,-0.498,0.327
03331330331300,12.8010881,-1.4831543,-0.401,0.293
03331331201122,13.1650736,-1.1315918,-0.607,0.300
03331330123111,13.4003068,-1.7687988,-0.606,0.304
03333101222000,9.9580298,-4.2077637,-0.108,0.306
03333101010230,11.0382553,-3.8122559,-0.564,0.288
03333101213103,10.2824911,-3.5705566,-0.326,0.287
03331332322221,11.2107336,-2.0764160,-0.399,0.296
03331331223030,12.6724962,-1.1755371,-0.100,0.307
03333100320201,10.0445848,-4.8889160,-0.312,0.288
03333100113111,10.9951198,-4.2297363,-0.337,0.289
03333101222002,9.9363874,-4.2077637,-0.456,0.307
03333100310220,10.3473437,-4.5593262,-0.218,0.285
03331312332223,13.9340669,-1.7248535,-0.709,0.315
12220223203202,11.5769066,1.5930176,-0.867,0.276
03331321302110,13.0580745,-3.3728027,-0.494,0.300
12220222201211,11.7705700,0.2526855,-0.258,0.283
03331332310021,11.8135879,-1.7248535,-0.629,0.280
12222000100020,11.1245072,0.7141113,-0.718,0.309
03331332202220,11.5553801,-2.8015137,-0.475,0.303
03331330121201,13.4857894,-1.9006348,-0.060,0.294
03331313313313,14.3176146,-0.0109863,-0.978,0.291
03331333001030,12.5009395,-1.1755371,-0.525,0.301
03331331030310,13.4857894,-0.9118652,-0.451,0.300
12220220233023,12.6510579,0.5603027,-0.424,0.280
03331333110303,12.4365763,-0.2307129,-0.730,0.296
03333101310101,10.4770087,-3.0432129,-0.150,0.284
12220222201230,11.7275454,0.2307129,-0.854,0.282
03331333220322,11.3615678,-1.3073730,-0.444,0.286
03333100023200,10.5634219,-5.4382324,-0.374,0.304
03331313132010,14.7642589,-0.2966309,-0.895,0.285
03331333012330,12.2433913,-0.9118652,-0.643,0.284
03331322332130,11.2969342,-4.4274902,-0.498,0.290
03331330012003,13.7207082,-2.4279785,-0.069,0.310
03333101230123,10.0662199,-3.7463379,-0.328,0.286
03331331130012,13.5498812,-0.2966309,-0.682,0.398
03331323001212,12.4365763,-3.9880371,-0.964,0.292
03333100010102,11.1460662,-5.1745605,-0.804,0.285
12220220030201,13.4857894,0.3845215,-0.440,0.298
03331312331213,14.1472288,-1.5051270,-0.366,0.308
03331332301200,11.7705700,-1.9226074,-0.433,0.281
03333101103102,10.9735497,-3.2409668,0.995,0.488
03331331011021,13.8700799,-0.8459473,-0.665,0.292
03331313333310,13.9980363,-0.0329590,-0.131,0.402
12220223210001,11.8565990,1.7907715,-0.476,0.298
03331333333201,11.2538371,-0.1428223,-0.238,0.292
03331330003200,13.6566625,-2.6257324,-0.314,0.290
03331330332311,12.6296178,-1.5930176,-0.282,0.308
03333100131200,10.7361753,-4.3835449,0.004,0.286
12220220300021,13.1864679,0.7360840,-0.629,0.300
03331331231322,12.7368003,-0.7800293,-0.368,0.289
03331323032102,12.0070844,-3.7683105,-0.526,0.287
03333100130002,10.8009324,-4.5593262,-0.860,0.284
03331322313003,11.6629959,-4.3615723,-0.643,0.283
12220220223023,12.6510579,0.2087402,-0.602,0.285
03331330003113,13.7207082,-2.4719238,-0.561,0.286
03331332202023,11.6199546,-2.7795410,-0.765,0.287
03331333231332,11.3615678,-0.7360840,-0.328,0.309
03331312233320,13.9553920,-2.1862793,-0.604,0.288
03333101030000,10.8225151,-3.8562012,-0.319,0.317
03333101331020,10.0878536,-2.9772949,-0.631,0.286
03331333023230,11.8996033,-1.1755371,-0.359,0.283
03331322130310,12.1145226,-4.4274902,-0.782,0.286
12220223011303,12.4365763,2.0544434,-0.362,0.300
12222000000012,11.1460662,0.0549316,-0.282,0.285
03333100131111,10.8225151,-4.2297363,-0.460,0.301
03331323233113,11.3184804,-3.5266113,-0.941,0.286
12220220230333,12.7368003,0.5163574,-0.523,0.298
03331332223221,11.2107336,-2.6037598,-0.878,0.289
03333103113300,9.5249141,-2.8894043,-0.763,0.281
12220222031333,12.0500648,0.6921387,-0.422,0.297
12220220001300,13.8274120,0.2746582,-0.467,0.304
03331333123223,11.8781020,-0.4943848,-0.567,0.303
03331323033222,11.8781020,-3.6804199,-0.888,0.288
03331313332233,13.9340669,-0.2746582,-0.328,0.299
03331321131301,13.4857894,-2.8674316,-0.562,0.285
03331332100003,12.5223904,-2.0764160,-0.331,0.291
